"Name"|"Color"|"Mana Cost"|"MV"|"Oracle Text"|"Type"|"Subtype"|"Expend Value"|"ATK"|""|""|""|""
"Paranoid Puppy"|"White"|"W"|"1"|"When you discard a card, you may send that card to the bottom of your deck instead."|"Summon"|"Familar"|"W"|"0"|""|"0"|"0"|"1"
"Axolotl Friend"|"White"|"1W"|"2"|"At the start of your end step, gain 1 life for each card in your reserve."|"Summon"|"Familiar"|"W"|"0"|""|"1"|"1"|"2"
"Recover"|"White"|"1W"|"2"|"If you lost life this turn, gain 5 life "|"Quick Spell"|"Trap"|"W"|""|""|"1"|"1"|"2"
"Grand Aegis"|"White"|"1WWWW"|"5"|"Requirements: Control two constructs. You take half damage, rounded up."|"Ritual Summon"|"Construct"|"W"|"0"|""|"1"|"1"|"5"
"Wreen Shock"|"White"|"W"|"1"|"Deal 2 damage to target player."|"Quick Spell"|"Life"|"C"|""|""|"0"|"0"|"1"
"Mend Self"|"White"|"1WW"|"3"|"If you have 7 or less life, gain 7 life, otherwise gain 4 life "|"Quick Spell"|"Life"|"W"|""|""|"1"|"1"|"3"
"Soul Explosion"|"White"|"2WWWW"|"6"|"Deal 8 damage to target player and 4 damage to yourself"|"Spell"|"Life"|"W"|""|""|"2"|"1"|"5"
"Watchful Eye"|"White"|"W"|"1"|"The next time target permanent would be destroyed, it isn't instead."|"Quick Spell"|"Eye"|"C"|""|""|"0"|"0"|"1"
"Emergency Stitches"|"White"|"1WW"|"3"|"If you have 7 or less life, gain 7 life, otherwise gain 4 life"|"Quick Spell"|"Life"|"W"|""|""|"1"|"1"|"3"
"Lifewield"|"White"|"1WW"|"3"|"Deal 5 damage to target opponent and deal 3 damage to yourself. "|"Quick Spell"|"Life"|"W"|""|""|"1"|"1"|"3"
"Overpower"|"White"|"WWWWWW"|"6"|"Pay up to half your current hp to deal damage to an opponent"|"Spell"|"Life"|"W"|""|""|"0"|"0"|"6"
"Mutual Assurance"|"White"|"2W"|"3"|"Deal 4 damage to each player"|"Spell"|"Life"|"W"|""|""|"2"|"1"|"2"
"Exertion"|"White"|"1WW"|"3"|"Deal 2 damage to yourself, choose one: -destroy target permanent -deal 3 damage to target player"|"Spell"|""|"W"|""|""|"1"|"1"|"3"
"Reset"|"White"|"WW"|""|"Gain life equal to the damage that was dealt to you this turn."|"Spell"|"Life"|"W"|""|""|""|""|""
""|""|""|""|""|""|""|""|""|""|""|""|""
""|""|""|""|""|""|""|""|""|""|""|""|""
""|""|""|"0"|""|""|""|""|""|""|"0"|"0"|"0"
""|""|""|"0"|""|""|""|""|""|""|"0"|"0"|"0"
"Mutual Ascension"|"Blue"|"3UUUUU"|"8"|"Each player may cast their first spell on each of their turns without paying its mana cost"|"Construct"|""|"B"|""|""|"3"|"1"|"6"
"Grand Spirit Summoning"|"Blue"|"UUUUU"|"5"|"Aetherize cards from your library until you reveal a Geist, then put it into play. "|"Spell"|"Ethereal"|"U"|""|""|"0"|"0"|"5"
"Annoying Poltergeist"|"Blue"|"1UU"|"3"|"At the end of your turn, any number of target players aetherizes the top 6 cards of their library "|"Summon"|"Familiar Geist"|"U"|"0"|""|"1"|"1"|"3"
"Annoying Mage's Friend"|"Blue"|"2U"|"3"|"You may keep up to one additional card when you discard."|"Summon"|""|"U"|"0"|""|"2"|"1"|"2"
"Neurotoxin"|"Blue"|"1UU"|"3"|"After each player draws for turn, they exile a card from their hand and the top 3 cards of their library"|"Construct"|"Neurotoxin"|"U"|""|""|"1"|"1"|"3"
"Mind's Triumph"|"Blue"|"1UUU"|"4"|"Requirements: Have ten or more cards in hand. Target Opponent exiles all but the top ten cards of their library."|"Ritual Spell"|"Mental"|"U"|""|""|"1"|"1"|"4"
"Increasing Returns"|"Blue"|"1U"|"2"|"You may run up to 5 of this card in your deck Draw a card, then draw a card for each Increasing Returns in your storage and aether."|"Spell"|""|"C"|""|""|"1"|"1"|"2"
"Stumble"|"Blue"|"1U"|"2"|"Counter target spell unless it’s controller pays 2 "|"Quick Spell"|""|"U"|""|""|"1"|"1"|"2"
"Cool Off"|"Blue"|"UU"|"2"|"All summons get -2 attack until your next turn"|"Quick Spell"|""|"U"|""|""|"0"|"0"|"2"
"Bottomless Bag"|"Blue"|"2U"|"3"|"T, discard a card: Return a card from your storage to your hand "|"Construct"|"Item"|"U"|""|""|"2"|"1"|"2"
"Mind Prick"|"Blue"|"U"|"1"|"Deal one damage to target player, draw a card."|"Quick Spell"|"Mind"|"U"|""|""|"0"|"0"|"1"
"Counterburst"|"Blue"|"1UU"|"3"|"Fragile. Counter target card, its controller aetherizes cards from their library equal to the card's mana cost."|"Quick Spell"|"Mind"|"U"|""|""|"1"|"1"|"3"
"Better Idea"|"Blue"|"1UU"|"3"|"Counter a spell you control to aetherize X cards from it's controller's deck where X is twice that card's mana cost."|"Quick Spell"|""|""|""|""|"1"|"1"|"3"
"Curious Eye"|"Blue"|"U"|"1"|"Draw 2 cards"|"Quick Spell"|"Mind"|"C"|""|""|"0"|"0"|"1"
"Shoplift"|"Blue"|"3U"|""|"Look at the top 3 cards of your deck, put two into your hand and the other into storage. Deal 2 damage to target player."|"Quick Spell"|"Trickery"|"U"|""|""|""|""|""
"Talk Down"|"Blue"|"1UU"|""|"Counter target spell with mana value 4 or less. Deal 1 damage to target player."|"Quick Spell"|"Arcane"|"U"|""|""|""|""|""
"Make A Stink"|"Blue"|"2UUU"|""|"Deal 3 damage to your opponent, return two permanents to their owner’s hands."|"Spell"|"Arcane"|"U"|""|""|""|""|""
