"Name"|"Color"|"Mana Cost"|"MV"|"Oracle Text"|"Type"|"Subtype"|"Expend Value"|"ATK"|""|""|""|""
"Web Trap"|"Green"|"1GG"|"3"|"Vulnerable 4. [Enters] flip target faceup card over until this leaves play. (It loses all abilities and subtypes on it's front)"|"Quick Construct"|"Acid"|"G"|""|""|""|""|""
"Giant Fucking Spider"|"Green"|"4GGG"|"7"|"[Once per turn][Your Turn] Put a ""Web Trap"" from your extra deck into play"|"Summon"|"Spider"|"G"|"4"|""|""|""|""
"Fiery Channelling"|"Red"|"1RR"|"3"|"Add RRRR, deal 2 self damage."|"Spell"|"Flame"|"R"|""|""|""|""|""
"Flame Rift"|"Red"|"1R"|"2"|"Add RR"|"Spell"|"Flame"|"R"|""|""|""|""|""
"Fundamentals"|"Red"|"R"|"1"|"[Your Turn] R, sacrifice this: aetherize your hand and draw cards equal to your resonance. "|"Construct"|""|"W/U"|""|""|""|""|""
"Focus Elements"|"R/B"|"RRB"|"3"|"Recruit X elementals where X is your resonance. Put 1 +ATK counters on them."|"Spell"|""|"B"|""|""|""|""|""
"Find A Way"|"White"|"1WW"|"3"|"Look at the top 5 of your deck and put one in hand, put the rest onto the bottom of your deck in any order."|"Spell"|""|"W"|""|""|""|""|""
"Bloody Search"|"White"|"1W"|"2"|"Pay X life, look at the top twice X cards of your deck and put one into your hand, put the rest on the bottom of your library in any order."|"Quick Spell"|""|"W"|""|""|""|""|""
"Badass Name"|"White"|"2WWW"|"5"|"Deal 5 damage to each player, draw 2 cards"|"Spell"|"Life"|"W"|""|""|""|""|""
"Bloodletter"|"White"|"2WWW"|"5"|"Whenever you lose life on your turn for the first time, draw that many cards"|"Construct"|""|"W"|""|""|""|""|""
"Double Zap"|"Red"|"RR"|"2"|"Deal 1 damage. Deal 1 damage."|"Quick Spell"|"Zap"|"R"|""|""|""|""|""
"Forking Crackle"|"Red"|"2RRR"|"5"|"Deal 1 damage. Deal 1 damage. Deal 1 damage."|"Quick Spell"|"Zap"|"R"|""|""|""|""|""
"Storm of Blades"|"Blue"|"U"|"1"|"Requirement: Control 4 or more constructs. Aetherize X Constructs you control or from your storage. Deal (X/2)^2 damage. round down."|"Ritual Spell"|""|"C"|""|""|""|""|""
"Concentration Engine"|"Blue"|"1U"|""|"Vulnerable 7. [End of turn] Deal 2 damage to this, draw a card."|"Construct"|""|"U"|""|""|""|""|""
"Mutual Ascension"|"Blue"|"3UUUUU"|"8"|"Each player may cast their first spell on each of their turns without paying its mana cost"|"Construct"|""|"B"|""|""|"3"|"1"|"6"
"Neurotoxin"|"Blue"|"1UU"|"3"|"[Each Turn][Main] The active player aetherizes 1 card from their hand and the top 3 cards of their deck"|"Construct"|"Neurotoxin"|"U"|""|""|"1"|"1"|"3"
"Bottomless Bag"|"Blue"|"2U"|"3"|"[Once per turn][Your turn] DIscard a card: Return a card from your storage to your hand "|"Construct"|"Item"|"U"|""|""|"2"|"1"|"2"
"Perpetual Motion Machine"|"Blue"|"2UUU"|""|"At the beginning on your end step, put an ATK counter on this summon."|"Construct"|"Tower"|"U"|""|""|""|""|""
"Advantage Generator"|"Blue"|"2UU"|"4"|"Hand size +1 [On restock] Channel a card."|"Construct"|""|"U"|""|""|"2"|"1"|"3"
"Fuck Red Players"|"Colorless"|"3"|"3"|"Red cards cost 1 more to play "|"Construct"|"Bullshit"|"C"|"0"|""|"3"|"1"|"1"
"Extra Fuck Red Players"|"Colorless"|"5"|"5"|"Red cards cost R more to play "|"Construct"|"Bullshit"|"C"|"0"|""|"5"|"1"|"1"
"Archmage's Hat"|"Colorless"|"12"|"13"|"You may cast spells from your hand without paying their mana costs "|"Construct"|"Item Archmage"|"C"|"0"|""|"12"|"1"|"2"
"Fraying Idol"|"Colorless"|"5"|"5"|"Whenever your opponent loses life on your turn, they exile their hand and draw up to maximum hand size "|"Construct"|""|"C"|"0"|""|"5"|"1"|"1"
"Protective Statue"|"Colorless"|"3"|"3"|"Effects opponents control cannot aetherize cards from your graveyard "|"Construct"|""|"C"|"0"|""|"3"|"1"|"1"
